date,actual_inflation,tbond,tbill,sp500
1928-12-31,-0.011560693641618491,0.008354708589799191,0.0308,0.3724704085528825
1929-12-31,0.005847953216374213,0.04203804156320426,0.0316,-0.03606911447084238
1930-12-31,-0.06395348837209291,0.045409314348970366,0.0455,-0.2296534267912772
1931-12-31,-0.0931677018633541,-0.02558855961942253,0.0231,-0.39823769611003657
1932-12-31,-0.10273972602739723,0.08790306990477326,0.0107,-0.11532385466034745
1933-12-31,0.007633587786259444,0.01855272089185736,0.0096,0.5304252199413488
1934-12-31,0.015151515151515138,0.0796344261796561,0.0027833333333333334,-0.026537947174858023
1935-12-31,0.029850746268656803,0.04472047729656613,0.001675,0.45662347012239013
1936-12-31,0.014492753623188248,0.05017875404545082,0.001725,0.3523133946830266
1937-12-31,0.028571428571428692,0.01379146059646049,0.002758333333333333,-0.3081281750683861
1938-12-31,-0.02777777777777779,0.04213248532204607,0.00065,0.21476104053236544
1939-12-31,0.0,0.04412261394206067,0.0004583333333333333,0.017993170475439912
1940-12-31,0.0071428571428571175,0.05402481596284551,0.00035833333333333333,-0.0961331177580167
1941-12-31,0.09929078014184389,-0.020221975848580216,0.0012916666666666669,-0.10240582462804682
1942-12-31,0.0903225806451613,0.022948682374484164,0.003425,0.16095890410958913
1943-12-31,0.029585798816567976,0.0249,0.0038,0.2684698879551821
1944-12-31,0.02298850574712663,0.025776111579070303,0.0038,0.1959930313588849
1945-12-31,0.022471910112359383,0.03804417341923723,0.0038,0.37277353689567416
1946-12-31,0.18131868131868134,0.031283745375695685,0.0038,-0.08737257164839385
1947-12-31,0.08837209302325566,0.009196968062832125,0.006008333333333333,0.04406256884776383
1948-12-31,0.02991452991453003,0.019510369413175046,0.01045,0.0683632734530939
1949-12-31,-0.020746887966805017,0.04663485182797314,0.01115,0.1565174621461487
1950-12-31,0.05932203389830493,0.00429595741710961,0.012033333333333333,0.27055622732769047
1951-12-31,0.06000000000000005,-0.0029531392208319886,0.015175000000000001,0.2616455696202531
1952-12-31,0.007547169811320753,0.022679961918305656,0.017225,0.17353695002135838
1953-12-31,0.0074906367041198685,0.04143840258908851,0.018908333333333333,0.008128520225294311
1954-12-31,-0.0074349442379182396,0.032898034558095555,0.0093752,0.46778091018928736
1955-12-31,0.0037453183520599342,-0.01336439128861867,0.017243426294820716,0.34284148317605556
1956-12-31,0.029850746268656803,-0.022557738173154165,0.026213888888888887,0.06257806186172932
1957-12-31,0.02898550724637672,0.06797012846625013,0.03224566929133858,-0.09392047085845534
1958-12-31,0.01760563380281699,-0.020990181755274694,0.017665461847389558,0.36965864947516347
1959-12-31,0.01730103806228378,-0.026466312591385065,0.0338601593625498,0.13765812924534182
1960-12-31,0.013605442176870763,0.11639503690963388,0.028729718875502006,-0.005460548594649617
1961-12-31,0.006711409395973034,0.020609208076323167,0.023524899598393576,0.29752053990610317
1962-12-31,0.013333333333333197,0.0569354405400844,0.027723694779116466,-0.0980159836446427
1963-12-31,0.016447368421052655,0.016841620739546127,0.03156024096385542,0.21914910600255433
1964-12-31,0.009708737864077666,0.037280648911540815,0.035457370517928286,0.16427351579704275
1965-12-31,0.019230769230769384,0.007188550935926345,0.03949076305220883,0.1237097030331904
1966-12-31,0.03459119496855334,0.029079409324299622,0.048557199999999995,-0.08252480104654969
1967-12-31,0.03039513677811545,-0.015806209932824666,0.04293453815261044,0.20749825812533307
1968-12-31,0.0471976401179941,0.032746196950768365,0.053376,0.14897691500524668
1969-12-31,0.06197183098591563,-0.050140493209926106,0.06668467741935484,-0.11514084507042255
1970-12-31,0.055702917771883076,0.16754737183412316,0.06391,0.023177111915998916
1971-12-31,0.03266331658291466,0.09786896619712297,0.0433425702811245,0.13568387932630022
1972-12-31,0.03406326034063256,0.0281844905044498,0.0406184,0.2159507243454002
1973-12-31,0.08705882352941186,0.036586646024150085,0.07035443548387096,-0.16578014184397172
1974-12-31,0.12337662337662336,0.019886086932378574,0.07845783132530121,-0.25528416684251254
1975-12-31,0.06936416184971095,0.03605253602603373,0.05786385542168675,0.377453903881517
1976-12-31,0.048648648648648596,0.15984560742909232,0.049766000000000005,0.22329951146185656
1977-12-31,0.0670103092783505,0.01289960607107056,0.05260963855421687,-0.06209805794333023
1978-12-31,0.09017713365539448,-0.007775806907508759,0.07178306451612904,0.07681375683933789
1979-12-31,0.13293943870014768,0.006707203124723546,0.10054274193548388,0.1775743072174245
1980-12-31,0.1251629726205996,-0.02989744251999414,0.1139188,0.2935992578849722
1981-12-31,0.0892236384704519,0.08199215335892354,0.14036184738955823,-0.024600499375780238
1982-12-31,0.038297872340425476,0.3281454948629561,0.10603413654618475,0.18087641357027473
1983-12-31,0.037909836065573854,0.032002094451429264,0.0861764,0.2293161166905786
1984-12-31,0.03948667324777877,0.13733364344102367,0.09540281124497993,0.045093268450932644
1985-12-31,0.037986704653371284,0.2571248821260641,0.07471129032258064,0.3073201621073962
1986-12-31,0.010978956999085021,0.24284215141767618,0.059692800000000004,0.2384265959157421
1987-12-31,0.044343891402715,-0.0496050893792625,0.0577736,0.0037744703673907587
1988-12-31,0.04419410745233954,0.08223595843484167,0.0666844,0.1857572614107883
1989-12-31,0.04647302904564321,0.17693647159446219,0.08111560000000001,0.29838758288125367
1990-12-31,0.0610626486915149,0.062353753335533585,0.0749648,-0.023544176706827402
1991-12-31,0.03064275037369213,0.15004510019517303,0.053756000000000005,0.21882382762991126
1992-12-31,0.029006526468455363,0.09361637316207942,0.03431314741035857,0.15306984805195922
1993-12-31,0.02748414376321362,0.14210957589263107,0.029971199999999996,0.09828834205613202
1994-12-31,0.02674897119341546,-0.08036655550998603,0.04252248995983936,0.004514075186894173
1995-12-31,0.025384101536406245,0.23480780112538907,0.054896,0.379638173070586
1996-12-31,0.03322475570032579,0.01428607793401844,0.05005396825396826,0.2327969149161202
1997-12-31,0.017023959646910614,0.09939130272977531,0.0506208,0.31528086108308107
1998-12-31,0.016119032858028515,0.14921431922606215,0.047759600000000006,0.2531328906761432
1999-12-31,0.02684563758389258,-0.08254214796268576,0.04638406374501992,0.21439995518395594
2000-12-31,0.03386809269162194,0.16655267125397488,0.05819800796812749,-0.05683218075426266
2001-12-31,0.01551724137931032,0.055721811892492555,0.03399354838709678,-0.12785859010867084
2002-12-31,0.02376910016977929,0.15116400378109285,0.0160532,-0.2007699160647376
2003-12-31,0.018794914317302513,0.003753185881775853,0.0100836,0.22013668008630116
2004-12-31,0.03255561584373301,0.04490683702274547,0.0137464,0.12696565615437772
2005-12-31,0.03415659485023648,0.028675329597779506,0.0314916,0.06991338742449882
2006-12-31,0.025406504065040636,0.019610012417568386,0.0473,0.14098135074388396
2007-12-31,0.04081268582755193,0.10209921930012807,0.04361952191235059,0.06294390082037804
2008-12-31,0.0009141290064560437,0.20101279926977011,0.013713147410358567,-0.3874694095536837
2009-12-31,0.027213311262058282,-0.11116695313259173,0.0015052,0.29412044000790094
2010-12-31,0.014957235273143077,0.0846293388035575,0.001384462151394422,0.13813139045491907
2011-12-31,0.029624188448710953,0.16035334999461331,0.0005283999999999999,0.02120501853895318
2012-12-31,0.01741022368747558,0.02971571978018946,0.0008759999999999999,0.1670493785456144
2013-12-31,0.01501735619618394,-0.09104568794347273,0.0005708,0.29450451970648284
2014-12-31,0.007564932696557447,0.10746180452004733,0.0003272,0.1571010668702313
2015-12-31,0.007295197860415881,0.012842996709792224,0.0005203187250996015,0.020247257338778857
2016-12-31,0.02074622132966919,0.006905504698747792,0.0031612000000000003,0.11544097600872405
2017-12-31,0.021090824745684245,0.028017162707789457,0.0093412,0.20702823043106044
2018-12-31,0.019101588486313714,-0.00016692385713402633,0.01936305220883534,-0.017138077973031574
2019-12-31,0.022851297401217163,0.09635630741548393,0.0206248,0.25929267436667236
2020-12-31,0.013620054947193205,0.11331897646614142,0.003547410358565737,0.18183825860792324
2021-12-31,0.07036402865545144,-0.04416034448604475,0.000450199203187251,0.2809165433981884
2022-12-31,0.0645440133141082,-0.17828171538250648,0.02024779116465863,-0.14939299069242962
